time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,39,31,36,37,37,37,36,27,31
2022-10-12,39,31,36,37,37,37,36,33,31
2022-10-13,39,31,36,37,37,37,36,32,31
2022-10-14,39,31,36,37,37,37,36,34,31
2022-10-15,39,31,36,37,37,37,36,34,31
2022-10-16,39,31,36,37,37,37,36,34,31
2022-10-17,39,31,36,37,37,37,36,33,31
2022-10-18,39,31,36,37,37,37,36,30,31
2022-10-19,39,31,36,37,37,37,36,34,31
2022-10-20,39,31,36,37,37,37,36,35,31
2022-10-21,39,31,36,37,37,37,36,35,31
2022-10-22,39,31,36,37,37,37,36,35,31
2022-10-23,39,31,36,37,37,37,36,38,31
2022-10-24,39,31,36,37,37,37,36,33,31
2022-10-25,39,31,36,37,37,37,36,33,31
2022-10-26,39,31,36,37,37,37,36,35,31
2022-10-27,39,31,36,37,37,37,36,33,31
2022-10-28,39,31,36,37,37,37,36,30,31
2022-10-29,39,31,36,37,37,37,36,30,31
2022-10-30,39,31,36,37,37,37,36,36,31
2022-10-31,39,31,36,37,37,37,36,29,31
2022-11-01,39,31,0,37,37,37,36,32,31
2022-11-02,39,31,36,37,37,37,36,36,31
2022-11-03,39,31,36,37,37,37,36,32,31
2022-11-04,39,31,36,37,37,37,36,34,31
2022-11-05,39,31,36,37,37,37,36,36,31
2022-11-06,39,31,36,37,37,37,36,36,31
2022-11-07,39,31,36,37,37,37,36,34,31
2022-11-08,39,31,36,37,37,37,36,35,31
2022-11-09,39,31,36,37,37,37,36,33,31
2022-11-10,39,31,36,37,37,37,36,35,31
2022-11-11,39,31,36,37,37,37,36,33,31
2022-11-12,39,31,36,37,37,37,36,32,31
2022-11-13,39,31,36,37,37,37,36,37,31
2022-11-14,39,31,36,37,37,37,36,29,31
2022-11-15,39,31,36,37,37,37,36,35,31
2022-11-16,39,31,36,37,37,37,36,38,31
2022-11-17,39,42,36,37,37,37,36,32,31
2022-11-18,39,31,36,37,37,37,36,32,31
2022-11-19,39,31,36,37,37,37,36,38,31
2022-11-20,39,31,36,37,37,37,36,34,31
2022-11-21,39,31,36,37,37,37,36,37,31
2022-11-22,39,31,36,37,37,37,36,39,31
2022-11-23,39,31,36,37,37,37,36,36,31
2022-11-24,39,31,36,37,37,37,36,38,31
2022-11-25,39,31,36,37,37,37,36,35,31
2022-11-26,39,31,36,37,37,37,36,35,31
2022-11-27,39,31,36,37,37,37,36,32,31
2022-11-28,39,31,36,37,37,37,36,32,31
2022-11-29,39,31,36,37,37,37,36,33,31
2022-11-30,39,31,36,37,37,37,36,34,31
2022-12-01,39,31,36,37,37,37,36,34,31
2022-12-02,39,31,36,37,37,37,36,29,31
2022-12-03,39,31,36,37,37,37,36,35,31
2022-12-04,39,31,36,37,37,37,36,39,31
2022-12-05,39,31,36,37,37,37,36,35,31
2022-12-06,39,31,36,37,37,37,36,32,31
2022-12-07,39,31,36,37,37,37,36,34,31
2022-12-08,39,31,36,37,37,37,36,37,31
2022-12-09,39,31,36,37,37,37,36,33,31
2022-12-10,39,31,36,37,37,37,36,32,31
2022-12-11,39,31,36,37,37,37,36,34,31
2022-12-12,39,31,36,37,37,37,36,31,31
2022-12-13,39,31,36,37,37,37,36,33,31
2022-12-14,39,31,36,37,37,37,36,34,31
2022-12-15,39,31,36,37,37,37,36,31,31
2022-12-16,39,31,36,37,37,37,36,36,31
2022-12-17,39,31,36,37,37,37,36,34,31
2022-12-18,39,31,36,37,37,37,36,31,31
2022-12-19,39,31,36,37,37,37,36,33,31
2022-12-20,39,31,36,37,37,37,36,31,31
2022-12-21,39,31,36,37,37,37,36,35,31
