time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,3,3,4,2,0,1,3,0,1
2022-10-12,3,1,6,1,2,1,3,1,0
2022-10-13,1,1,7,0,2,3,2,1,0
2022-10-14,4,0,0,3,1,4,4,2,0
2022-10-15,4,0,2,2,1,0,4,1,0
2022-10-16,5,0,4,2,0,3,7,0,0
2022-10-17,2,0,3,2,3,0,2,0,0
2022-10-18,5,1,4,3,0,3,2,1,1
2022-10-19,1,2,2,2,4,4,1,0,0
2022-10-20,1,1,1,1,0,4,1,1,0
2022-10-21,4,0,1,0,1,1,3,2,0
2022-10-22,0,0,1,2,0,2,1,0,0
2022-10-23,9,1,4,2,2,6,4,0,0
2022-10-24,3,0,5,1,0,4,2,1,0
2022-10-25,0,0,0,2,0,2,0,0,0
2022-10-26,6,1,4,2,1,5,5,0,0
2022-10-27,1,2,1,2,1,2,0,1,1
2022-10-28,4,3,1,3,1,3,3,0,0
2022-10-29,2,1,3,0,0,1,3,0,0
2022-10-30,0,1,0,0,0,0,0,0,1
2022-10-31,2,2,1,1,0,2,2,0,0
2022-11-01,3,0,0,1,1,3,4,1,1
2022-11-02,1,1,4,0,0,5,3,0,0
2022-11-03,0,3,2,0,2,3,3,0,3
2022-11-04,3,2,1,4,0,3,3,0,2
2022-11-05,6,0,3,2,1,2,2,0,0
2022-11-06,5,4,2,2,0,2,2,1,4
2022-11-07,4,1,0,0,0,0,3,1,1
2022-11-08,3,2,2,1,0,1,3,1,1
2022-11-09,4,1,2,0,2,0,4,1,0
2022-11-10,4,0,0,1,0,0,3,0,0
2022-11-11,2,1,3,0,0,0,2,1,1
2022-11-12,1,2,3,4,1,4,0,2,1
2022-11-13,1,1,1,0,0,0,0,0,1
2022-11-14,4,1,3,0,1,0,3,0,0
2022-11-15,0,3,5,2,1,4,3,1,0
2022-11-16,2,3,0,1,2,0,3,4,1
2022-11-17,3,3,3,1,0,4,2,1,1
2022-11-18,2,1,3,2,2,2,0,0,0
2022-11-19,4,0,4,2,4,4,2,2,0
2022-11-20,3,0,3,0,2,3,4,1,0
2022-11-21,0,2,2,0,1,2,3,0,0
2022-11-22,8,1,1,2,2,1,3,2,0
2022-11-23,4,1,1,1,0,0,2,1,0
2022-11-24,3,2,1,0,0,1,3,0,0
2022-11-25,5,2,1,0,0,2,4,0,0
2022-11-26,2,0,0,0,0,4,2,0,0
2022-11-27,2,0,1,1,0,2,3,0,0
2022-11-28,2,1,1,0,0,3,3,0,0
2022-11-29,2,0,2,2,0,2,2,2,0
2022-11-30,2,2,1,0,1,2,5,1,0
2022-12-01,3,2,4,0,0,5,4,1,0
2022-12-02,3,1,3,1,0,1,1,0,2
2022-12-03,2,1,4,1,0,6,4,0,0
2022-12-04,1,5,1,0,1,2,2,0,4
2022-12-05,4,4,4,0,2,6,3,1,4
2022-12-06,4,4,2,1,0,0,4,3,2
2022-12-07,3,6,5,3,1,1,2,2,3
2022-12-08,1,3,2,0,0,3,0,1,2
2022-12-09,2,4,2,1,0,1,2,0,2
2022-12-10,6,6,1,0,1,1,4,2,3
2022-12-11,4,3,3,1,0,2,6,3,3
2022-12-12,1,3,2,0,2,2,2,3,3
2022-12-13,3,7,1,2,2,0,3,0,5
2022-12-14,3,3,2,0,1,4,6,0,4
2022-12-15,7,6,6,2,1,3,4,1,6
2022-12-16,1,4,2,3,1,1,1,1,5
2022-12-17,2,2,2,2,1,3,4,4,2
2022-12-18,2,2,2,1,0,1,5,1,2
2022-12-19,3,5,2,0,0,5,3,0,5
2022-12-20,3,7,4,3,2,2,4,0,6
2022-12-21,3,6,0,0,2,1,2,0,4
2022-12-22,0,1,5,3,0,3,3,1,1
2022-12-23,3,1,5,3,1,3,4,2,2
2022-12-24,1,4,4,0,0,3,1,1,2
2022-12-25,3,4,3,2,3,4,6,2,4
2022-12-26,7,4,4,3,0,3,3,1,5
2022-12-27,3,8,3,1,2,5,2,0,6
2022-12-28,1,5,1,0,0,0,2,0,3
2022-12-29,1,2,2,2,0,4,1,1,2
2022-12-30,6,6,5,1,2,2,3,2,9
2022-12-31,1,4,1,2,1,1,2,3,5
2023-01-01,7,4,4,1,1,4,2,2,6
2023-01-02,1,7,1,1,1,0,1,0,8
2023-01-03,5,7,2,2,1,5,3,3,8
2023-01-04,2,4,1,1,1,0,0,1,3
2023-01-05,4,5,4,1,0,4,3,0,5
2023-01-06,5,4,4,0,0,3,0,0,4
2023-01-07,7,5,4,2,0,3,3,0,4
2023-01-08,1,4,5,2,1,4,3,2,6
2023-01-09,5,5,1,2,0,2,4,0,4
2023-01-10,7,5,3,2,1,2,3,1,4
2023-01-11,4,8,4,1,1,2,4,2,8
2023-01-12,1,3,0,0,0,2,1,0,1
2023-01-13,2,4,3,1,0,3,1,1,3
2023-01-14,3,7,3,0,1,2,5,1,6
2023-01-15,2,3,5,2,1,3,4,0,3
2023-01-16,3,7,1,1,1,0,1,1,7
2023-01-17,8,4,1,3,1,3,4,1,3
2023-01-18,3,4,4,4,1,5,4,0,4
2023-01-19,3,2,4,0,0,2,2,1,3
2023-01-20,1,3,1,0,0,3,3,1,2
2023-01-21,6,2,1,2,0,4,2,1,3
2023-01-22,0,4,2,3,1,2,3,0,3
2023-01-23,5,10,1,0,1,3,3,2,9
2023-01-24,0,6,2,3,3,2,3,1,6
2023-01-25,5,7,3,0,1,6,4,0,5
2023-01-26,4,6,5,1,0,1,3,1,5
2023-01-27,7,5,6,0,0,2,4,1,5
2023-01-28,1,8,3,1,0,2,3,2,8
2023-01-29,6,2,2,0,0,5,2,2,3
2023-01-30,3,3,3,0,1,2,1,0,3
2023-01-31,4,7,6,1,0,2,4,0,8
2023-02-01,1,4,2,1,1,1,1,2,3
2023-02-02,3,2,4,1,1,4,3,1,2
2023-02-03,6,6,2,1,2,1,3,1,6
2023-02-04,3,7,4,2,1,5,5,0,8
2023-02-05,4,4,3,3,0,1,4,2,3
2023-02-06,2,7,3,2,2,1,3,0,6
2023-02-07,3,3,1,1,0,1,2,1,4
2023-02-08,1,6,3,0,1,5,1,1,8
2023-02-09,2,5,3,0,0,1,1,1,4
2023-02-10,5,5,3,2,1,2,5,3,5
2023-02-11,7,4,5,1,1,2,5,1,4
2023-02-12,2,6,3,1,0,2,1,0,3
2023-02-13,4,8,2,2,1,2,4,0,9
2023-02-14,8,5,2,2,0,3,0,2,2
2023-02-15,2,5,2,3,0,2,4,1,5
2023-02-16,2,2,3,0,1,1,1,1,2
2023-02-17,1,3,2,3,3,3,4,0,3
2023-02-18,4,5,3,1,1,3,2,1,5
2023-02-19,4,5,0,1,0,4,5,1,5
2023-02-20,4,4,3,0,1,1,2,0,5
2023-02-21,3,2,2,0,1,0,4,3,3
2023-02-22,1,8,3,0,1,5,0,1,7
2023-02-23,2,5,4,3,1,4,4,2,6
2023-02-24,3,4,2,1,0,2,2,2,6
2023-02-25,5,5,7,1,0,5,7,0,3
2023-02-26,4,1,3,2,1,1,3,0,1
2023-02-27,1,2,3,0,1,1,0,0,2
2023-02-28,2,1,4,0,0,1,5,0,0
2023-03-01,2,4,0,0,2,2,1,3,2
2023-03-02,3,5,3,1,2,3,2,0,5
2023-03-03,4,6,0,3,3,4,3,2,4
2023-03-04,5,2,3,1,0,0,1,1,3
2023-03-05,3,5,2,1,2,3,3,2,4
2023-03-06,0,4,2,0,0,3,2,0,3
2023-03-07,3,0,1,1,0,6,1,3,1
2023-03-08,6,5,2,1,2,1,4,2,0
2023-03-09,3,2,2,2,1,2,1,1,2
2023-03-10,2,2,2,0,0,1,3,1,3
2023-03-11,5,5,4,0,1,4,1,2,4
2023-03-12,5,2,2,0,2,6,1,0,2
2023-03-13,5,2,3,1,1,3,2,2,4
2023-03-14,3,1,2,2,1,6,6,0,3
2023-03-15,6,3,4,1,2,4,5,3,2
2023-03-16,3,2,1,0,0,3,3,3,2
2023-03-17,4,1,3,0,2,2,2,1,1
2023-03-18,4,4,2,1,1,2,2,0,4
2023-03-19,1,1,3,0,0,2,2,1,2
2023-03-20,4,3,1,0,1,4,5,2,2
2023-03-21,3,1,1,0,0,0,2,1,2
2023-03-22,1,2,3,0,1,3,1,3,4
2023-03-23,0,2,1,0,1,2,3,0,3
2023-03-24,0,5,2,1,2,1,1,2,4
2023-03-25,5,3,1,2,0,1,5,1,4
2023-03-26,1,4,1,1,1,0,2,2,4
2023-03-27,3,3,3,1,0,3,4,1,1
2023-03-28,2,5,1,2,0,2,4,0,2
2023-03-29,3,3,2,0,0,0,1,1,2
2023-03-30,3,5,2,1,1,5,4,0,4
2023-03-31,2,3,1,1,0,3,2,0,2
2023-04-01,8,5,4,1,1,3,4,0,3
2023-04-02,1,2,2,0,2,1,3,1,2
2023-04-03,1,3,3,1,1,1,1,0,3
2023-04-04,2,6,3,3,1,0,1,2,4
2023-04-05,3,1,1,0,1,2,3,1,2
2023-04-06,1,2,3,0,0,2,2,2,4
2023-04-07,3,5,3,2,1,3,2,3,6
2023-04-08,1,3,1,2,0,1,1,1,2
2023-04-09,1,2,2,1,1,4,1,1,1
2023-04-10,4,3,4,2,0,3,3,0,3
2023-04-11,1,0,0,1,0,2,1,0,0
2023-04-12,5,3,6,2,1,4,1,1,1
2023-04-13,5,4,2,0,0,4,3,2,5
2023-04-14,1,3,4,1,0,1,2,2,2
2023-04-15,3,5,1,2,1,3,2,1,5
2023-04-16,0,2,2,0,2,1,2,1,2
2023-04-17,2,4,2,1,0,1,0,2,4
2023-04-18,3,4,2,0,1,2,4,0,4
2023-04-19,1,6,0,1,0,2,1,1,4
2023-04-20,0,4,0,1,1,1,3,3,5
2023-04-21,4,2,0,1,3,4,2,3,3
2023-04-22,4,6,4,0,1,2,4,2,3
