time,overall,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,0.725,0.897,0.581,0.944,0.973,0.541,0.946,0.75,0.815,0.258
2022-10-12,0.688,0.974,0.452,0.972,1.0,0.432,0.946,0.806,0.727,0.226
2022-10-13,0.691,0.923,0.645,0.889,1.0,0.378,0.919,0.806,0.75,0.032
2022-10-14,0.667,0.974,0.581,0.944,0.919,0.405,0.919,0.806,0.647,0.129
2022-10-15,0.695,0.923,0.548,0.917,1.0,0.568,0.811,0.861,0.647,0.161
2022-10-16,0.681,1.0,0.581,0.944,1.0,0.432,0.919,0.583,0.735,0.129
2022-10-17,0.704,0.923,0.645,0.861,1.0,0.486,0.811,0.722,0.697,0.161
2022-10-18,0.658,1.0,0.581,0.944,1.0,0.243,0.865,0.639,0.767,0.129
2022-10-19,0.665,0.923,0.677,0.944,0.946,0.486,0.892,0.611,0.647,0.0
2022-10-20,0.624,0.923,0.419,1.0,1.0,0.351,0.784,0.722,0.629,0.0
2022-10-21,0.633,0.974,0.29,0.972,1.0,0.514,0.811,0.667,0.629,0.0
2022-10-22,0.665,1.0,0.226,0.944,1.0,0.568,0.892,0.639,0.657,0.226
2022-10-23,0.695,1.0,0.742,0.972,1.0,0.459,0.973,0.694,0.632,0.065
2022-10-24,0.738,0.974,0.806,0.917,0.973,0.703,0.892,0.889,0.636,0.097
2022-10-25,0.727,0.949,0.806,0.944,1.0,0.459,0.865,0.833,0.727,0.161
2022-10-26,0.736,0.949,0.839,0.944,1.0,0.568,0.946,0.75,0.629,0.194
2022-10-27,0.723,0.974,0.806,0.944,1.0,0.324,0.973,0.694,0.758,0.129
2022-10-28,0.695,0.949,0.774,1.0,1.0,0.459,0.811,0.611,0.733,0.032
2022-10-29,0.689,0.949,0.774,0.972,1.0,0.514,1.0,0.694,0.7,0.0
2022-10-30,0.677,0.974,0.71,0.944,0.973,0.514,0.811,0.611,0.639,0.161
2022-10-31,0.688,0.974,0.806,0.972,0.973,0.324,0.811,0.722,0.862,0.097
2022-11-01,0.656,0.974,0.839,0.0,1.0,0.432,0.919,0.778,0.656,0.065
2022-11-02,0.72,1.0,0.839,0.972,1.0,0.595,0.919,0.639,0.667,0.0
2022-11-03,0.714,1.0,0.806,0.972,1.0,0.432,0.865,0.694,0.719,0.194
2022-11-04,0.676,0.923,0.806,0.972,1.0,0.514,0.838,0.806,0.588,0.065
2022-11-05,0.651,0.974,0.645,0.972,1.0,0.378,0.919,0.667,0.556,0.0
2022-11-06,0.725,0.923,0.677,0.972,1.0,0.514,0.919,0.806,0.694,0.226
