time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,1.0,0.613,0.972,1.0,0.541,0.946,0.75,0.815,0.258
2022-10-12,1.0,0.581,1.0,1.0,0.432,0.946,0.806,0.727,0.226
2022-10-13,0.974,0.742,1.0,1.0,0.378,0.919,0.833,0.75,0.032
2022-10-14,0.974,0.71,1.0,0.919,0.432,0.919,0.806,0.647,0.129
2022-10-15,0.974,0.645,0.972,1.0,0.568,0.811,0.889,0.647,0.161
2022-10-16,1.0,0.677,1.0,1.0,0.432,0.919,0.611,0.765,0.129
2022-10-17,0.949,0.677,0.944,1.0,0.486,0.838,0.75,0.697,0.161
2022-10-18,1.0,0.645,1.0,1.0,0.243,0.919,0.694,0.767,0.129
2022-10-19,0.949,0.742,0.972,0.973,0.486,0.919,0.611,0.647,0.0
2022-10-20,0.974,0.581,1.0,1.0,0.351,0.838,0.722,0.629,0.0
2022-10-21,1.0,0.29,0.972,1.0,0.514,0.838,0.667,0.657,0.0
2022-10-22,1.0,0.387,1.0,1.0,0.568,0.892,0.694,0.657,0.226
2022-10-23,1.0,0.806,1.0,1.0,0.459,1.0,0.778,0.632,0.065
2022-10-24,1.0,0.839,1.0,1.0,0.703,0.919,0.889,0.667,0.129
2022-10-25,0.949,0.871,0.944,1.0,0.459,0.865,0.861,0.727,0.161
2022-10-26,0.974,0.903,0.972,1.0,0.568,0.946,0.75,0.629,0.194
2022-10-27,1.0,0.935,1.0,1.0,0.324,0.973,0.722,0.758,0.129
2022-10-28,0.974,0.839,1.0,1.0,0.459,0.811,0.611,0.733,0.032
2022-10-29,0.974,0.871,0.972,1.0,0.541,1.0,0.694,0.7,0.0
2022-10-30,0.974,0.871,1.0,0.973,0.514,0.811,0.639,0.639,0.161
2022-10-31,1.0,0.903,0.972,1.0,0.324,0.811,0.75,0.862,0.129
2022-11-01,0.974,0.968,0.0,1.0,0.432,0.919,0.778,0.656,0.065
2022-11-02,1.0,0.968,0.972,1.0,0.595,0.919,0.694,0.667,0.0
2022-11-03,1.0,0.871,1.0,1.0,0.432,0.865,0.694,0.719,0.194
2022-11-04,0.974,0.935,1.0,1.0,0.514,0.838,0.833,0.588,0.065
2022-11-05,0.974,0.806,1.0,1.0,0.378,0.919,0.694,0.556,0.0
2022-11-06,1.0,0.806,1.0,1.0,0.514,0.919,0.833,0.694,0.226
2022-11-07,1.0,0.968,1.0,1.0,0.541,0.838,0.806,0.618,0.129
