time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,12,5,5,8,5,10,7,6,3
2022-10-12,9,5,4,11,6,8,10,8,3
2022-10-13,8,4,3,10,6,7,6,6,1
2022-10-14,10,4,2,9,6,7,8,6,1
2022-10-15,7,6,3,11,7,9,7,7,2
2022-10-16,9,3,4,7,7,8,8,7,3
2022-10-17,11,4,4,11,7,7,7,9,2
2022-10-18,10,6,3,7,5,10,6,9,4
2022-10-19,7,8,4,10,6,9,8,5,0
2022-10-20,8,4,2,9,5,8,7,7,0
2022-10-21,11,3,3,7,7,7,6,6,0
2022-10-22,10,3,3,8,5,7,7,10,2
2022-10-23,9,4,6,10,7,8,11,6,0
2022-10-24,9,5,4,10,11,9,5,6,1
2022-10-25,7,4,2,7,4,5,10,8,3
2022-10-26,9,7,3,10,6,7,8,7,3
2022-10-27,8,4,3,10,4,8,9,6,3
2022-10-28,9,5,2,7,6,7,4,8,0
2022-10-29,7,4,3,9,5,12,6,9,0
2022-10-30,8,4,4,8,5,6,8,8,3
2022-10-31,9,5,2,10,5,7,5,7,1
2022-11-01,7,3,0,12,6,7,6,9,2
2022-11-02,9,5,3,11,8,6,10,8,0
2022-11-03,8,5,4,8,6,6,6,7,2
2022-11-04,10,7,4,8,6,9,9,5,1
2022-11-05,9,5,3,8,9,11,8,5,0
2022-11-06,10,6,4,9,6,8,6,7,3
2022-11-07,10,5,3,8,5,6,9,5,3
2022-11-08,12,5,3,7,6,8,7,6,3
2022-11-09,11,4,2,11,5,10,7,7,2
2022-11-10,10,4,3,10,6,11,8,6,1
2022-11-11,10,4,3,11,7,8,10,6,1
2022-11-12,8,5,2,9,7,6,7,7,3
2022-11-13,9,5,2,8,6,7,10,7,2
2022-11-14,8,6,4,11,7,5,7,7,0
2022-11-15,9,6,3,8,4,6,8,7,1
2022-11-16,7,6,2,8,8,8,9,10,4
2022-11-17,10,6,4,10,5,10,9,8,2
2022-11-18,10,6,4,10,5,6,11,11,2
2022-11-19,10,4,4,8,7,8,8,7,0
2022-11-20,10,5,4,11,5,7,6,4,1
2022-11-21,13,3,2,9,6,10,9,6,2
2022-11-22,7,5,3,12,6,7,11,6,0
2022-11-23,9,5,3,11,5,8,7,10,0
2022-11-24,9,8,3,11,7,6,8,7,1
2022-11-25,11,7,3,9,8,8,10,10,0
2022-11-26,6,5,2,11,7,9,7,8,0
2022-11-27,8,5,2,13,6,7,7,8,0
2022-11-28,7,6,2,10,4,11,8,7,1
2022-11-29,11,6,2,9,5,6,10,8,0
2022-11-30,9,5,4,10,7,10,8,8,0
2022-12-01,7,5,3,10,5,9,11,8,0
2022-12-02,10,4,4,9,8,7,7,7,5
2022-12-03,10,5,5,8,8,9,9,7,4
2022-12-04,8,5,3,10,6,8,4,7,6
2022-12-05,10,4,3,11,5,6,7,7,7
2022-12-06,9,8,4,11,7,8,8,6,7
2022-12-07,8,7,2,11,5,10,10,7,5
2022-12-08,12,7,5,10,7,8,9,6,6
2022-12-09,8,5,3,10,5,6,9,7,7
