time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,23.99.0,24.99.0,23.0.0,23.0.0,23.0.0,23.99.0,24.99.0,23.0.0,23.0.0
2022-10-12,24.99.0,24.99.0,22.99.0,23.99.0,23.0.0,23.99.0,23.99.0,23.99.0,23.0.0
2022-10-13,23.0.0,23.99.0,22.99.0,23.0.0,23.0.0,23.99.0,24.99.0,23.0.0,23.0.0
2022-10-14,23.99.0,24.99.0,22.0.0,23.0.0,23.0.0,23.0.0,23.0.0,23.99.0,23.0.0
2022-10-15,23.99.0,23.99.0,23.0.0,23.0.0,23.0.0,23.0.0,24.99.0,24.99.0,23.0.0
2022-10-16,23.99.0,24.99.0,22.99.0,23.0.0,24.99.0,24.0.0,23.0.0,23.0.0,23.0.0
2022-10-17,24.99.0,23.0.0,22.99.0,23.99.0,24.0.0,23.0.0,23.99.0,23.99.0,23.0.0
2022-10-18,24.0.0,23.99.0,22.99.0,23.0.0,23.0.0,23.0.0,23.99.0,23.99.0,23.0.0
2022-10-19,24.0.0,24.99.0,22.99.0,23.99.0,24.0.0,24.99.0,24.99.0,23.0.0,
2022-10-20,23.0.0,24.0.0,22.0.0,24.99.0,23.0.0,24.99.0,23.0.0,24.99.0,
2022-10-21,24.99.0,24.99.0,22.99.0,24.99.0,23.0.0,23.0.0,23.0.0,23.0.0,
2022-10-22,23.0.0,24.99.0,22.99.0,23.0.0,23.0.0,23.99.0,23.99.0,24.0.0,24.99.0
2022-10-23,24.99.0,24.99.0,22.99.0,24.0.0,23.99.0,23.99.0,24.99.0,23.99.0,
2022-10-24,23.99.0,24.0.0,22.99.0,23.99.0,23.99.0,23.99.0,23.0.0,23.99.0,23.0.0
2022-10-25,23.0.0,23.0.0,22.0.0,23.0.0,23.0.0,23.0.0,23.99.0,23.0.0,24.99.0
2022-10-26,23.99.0,23.99.0,22.0.0,24.99.0,23.0.0,23.0.0,23.99.0,24.99.0,23.0.0
2022-10-27,23.0.0,24.0.0,23.0.0,23.0.0,23.0.0,24.99.0,23.0.0,23.0.0,23.0.0
2022-10-28,24.99.0,24.0.0,22.0.0,23.0.0,24.0.0,23.0.0,23.0.0,23.0.0,
2022-10-29,23.99.0,24.0.0,22.99.0,23.0.0,23.0.0,23.99.0,24.99.0,23.0.0,
2022-10-30,23.99.0,24.0.0,22.0.0,23.0.0,23.0.0,23.0.0,23.99.0,24.99.0,23.0.0
2022-10-31,24.0.0,23.0.0,22.0.0,23.0.0,23.0.0,23.0.0,23.0.0,23.0.0,23.0.0
2022-11-01,23.0.0,23.0.0,,23.99.0,23.0.0,24.0.0,23.0.0,23.0.0,23.0.0
2022-11-02,23.0.0,24.99.0,22.99.0,23.99.0,23.0.0,23.0.0,24.99.0,24.99.0,
