time,overall,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,15,4,2,1,1,0,0,0,0,0
2022-10-12,26,1,6,1,0,2,0,0,1,0
2022-10-13,22,2,4,4,0,1,0,1,1,1
2022-10-14,30,0,4,2,0,2,0,0,4,4
2022-10-15,25,2,5,2,0,0,0,1,2,3
2022-10-16,23,0,4,2,0,0,0,2,3,3
2022-10-17,19,1,2,3,0,0,3,2,2,3
2022-10-18,30,0,4,2,0,1,4,3,3,3
2022-10-19,18,1,4,1,1,0,1,0,0,0
2022-10-20,36,2,8,0,0,0,2,1,4,8
2022-10-21,36,1,7,0,0,0,1,0,10,7
2022-10-22,36,0,13,2,0,0,0,4,4,2
2022-10-23,28,0,5,1,0,0,1,3,3,4
2022-10-24,24,1,1,3,1,0,1,0,4,2
2022-10-25,17,0,2,0,0,0,0,1,4,0
2022-10-26,17,1,3,2,0,0,0,0,3,0
2022-10-27,20,1,5,2,0,0,0,1,5,1
2022-10-28,17,1,2,0,0,1,0,4,2,0
2022-10-29,38,1,5,0,0,1,0,1,0,12
2022-10-30,24,0,6,2,0,0,0,1,2,0
2022-10-31,26,1,5,0,1,0,0,1,1,4
2022-11-01,27,0,4,0,0,0,0,0,1,4
2022-11-02,21,0,4,0,0,1,0,2,2,4
2022-11-03,20,0,3,1,0,0,1,0,4,1
2022-11-04,32,2,5,1,0,1,0,2,3,2
2022-11-05,28,0,5,1,0,0,0,1,4,6
2022-11-06,29,3,7,1,0,0,0,2,6,1
2022-11-07,18,1,3,0,0,0,1,0,4,1
2022-11-08,24,1,4,0,0,0,1,1,4,1
2022-11-09,22,4,7,0,0,0,0,0,2,2
2022-11-10,30,3,4,1,0,3,0,3,3,3
2022-11-11,21,0,5,1,0,1,0,0,4,0
2022-11-12,18,1,5,2,0,0,0,1,1,0
2022-11-13,30,2,2,0,0,1,0,0,5,1
2022-11-14,22,0,2,1,0,0,1,1,0,5
2022-11-15,25,2,3,3,0,0,0,1,2,5
2022-11-16,24,2,4,1,0,1,0,2,6,2
2022-11-17,24,1,4,1,0,0,0,2,3,0
2022-11-18,28,0,8,1,0,0,1,0,1,3
2022-11-19,26,0,1,4,2,2,0,1,4,4
2022-11-20,27,1,4,3,0,1,1,0,4,4
2022-11-21,26,0,7,0,0,0,2,0,2,0
2022-11-22,26,1,4,2,0,0,1,2,7,1
2022-11-23,30,4,2,1,1,0,1,1,6,0
2022-11-24,25,1,2,0,0,1,0,2,5,5
2022-11-25,28,0,5,1,0,0,0,0,5,5
2022-11-26,31,1,8,2,0,1,3,2,3,3
2022-11-27,20,0,5,2,0,1,2,0,3,2
2022-11-28,23,2,4,1,0,0,2,0,2,6
2022-11-29,27,2,6,2,0,0,0,1,0,4
2022-11-30,30,1,6,1,0,0,1,1,2,1
2022-12-01,24,2,3,1,1,1,2,3,3,0
2022-12-02,22,4,5,2,0,0,0,1,0,0
2022-12-03,25,2,6,4,0,0,1,0,1,1
2022-12-04,23,0,5,1,0,0,2,0,6,1
2022-12-05,24,1,5,0,0,0,0,0,6,0
2022-12-06,25,0,6,1,0,1,1,0,2,2
2022-12-07,31,0,7,2,0,1,2,1,3,4
2022-12-08,31,1,8,0,0,1,0,0,5,3
2022-12-09,37,1,5,1,1,1,1,2,3,0
2022-12-10,33,0,6,0,0,0,1,0,4,0
2022-12-11,37,4,6,3,0,0,0,3,2,6
2022-12-12,29,0,6,1,0,1,2,1,1,4
2022-12-13,24,0,6,1,0,1,0,0,1,4
2022-12-14,22,1,3,3,1,1,0,1,3,1
2022-12-15,25,1,7,1,0,1,0,0,3,3
2022-12-16,35,0,6,4,0,3,0,0,3,4
2022-12-17,31,1,5,2,0,0,1,1,5,0
2022-12-18,22,1,6,1,0,1,0,0,0,2
2022-12-19,32,2,4,0,0,1,0,0,3,3
2022-12-20,42,0,8,2,0,1,0,0,3,4
2022-12-21,29,0,5,2,0,0,1,0,1,3
2022-12-22,34,0,3,3,0,3,0,0,5,1
2022-12-23,30,0,6,2,0,2,0,0,3,4
2022-12-24,28,2,7,2,2,1,1,0,4,1
2022-12-25,29,1,6,3,0,1,1,1,4,5
2022-12-26,31,1,5,2,0,0,0,2,2,5
2022-12-27,34,1,7,2,1,1,1,0,1,3
2022-12-28,35,1,4,2,0,0,3,1,3,5
2022-12-29,24,0,3,1,0,0,0,1,4,3
2022-12-30,28,2,5,3,0,1,0,0,2,5
2022-12-31,25,0,6,2,0,0,0,1,3,4
2023-01-01,30,1,4,2,0,0,0,2,4,6
2023-01-02,21,1,4,0,0,0,0,1,1,3
2023-01-03,30,0,6,1,1,1,1,2,2,1
2023-01-04,37,2,7,1,1,1,0,2,7,4
2023-01-05,29,0,6,1,0,0,0,0,4,6
2023-01-06,33,2,5,6,0,1,0,1,2,6
2023-01-07,39,1,2,5,1,3,0,1,2,6
2023-01-08,23,0,3,2,0,2,1,1,3,5
2023-01-09,26,1,4,1,1,0,0,1,2,4
2023-01-10,37,3,7,1,0,0,0,0,4,5
2023-01-11,26,1,4,5,0,0,0,1,1,4
2023-01-12,26,1,1,5,0,1,1,2,1,3
2023-01-13,32,2,3,1,0,0,0,0,3,4
2023-01-14,28,2,4,2,0,0,0,0,1,2
2023-01-15,31,3,4,1,0,0,2,0,3,1
2023-01-16,40,1,8,1,0,1,0,1,3,7
2023-01-17,26,0,4,3,0,2,0,1,1,5
2023-01-18,30,3,4,0,1,1,0,1,2,4
2023-01-19,41,1,6,1,0,0,0,1,4,6
2023-01-20,35,1,5,0,0,0,1,2,4,3
2023-01-21,27,0,5,0,1,2,1,1,5,1
2023-01-22,33,2,3,1,0,0,1,2,5,3
2023-01-23,37,1,8,2,1,2,0,0,2,8
2023-01-24,24,0,6,2,0,1,0,2,1,4
2023-01-25,31,1,1,6,1,1,1,0,2,3
2023-01-26,30,0,3,4,0,1,0,1,1,3
2023-01-27,41,2,6,4,0,3,0,3,2,6
2023-01-28,26,1,3,2,0,1,0,0,2,4
2023-01-29,33,1,6,3,0,1,0,1,5,2
2023-01-30,28,0,8,5,0,0,0,2,1,4
2023-01-31,35,1,6,4,1,0,1,0,5,2
2023-02-01,32,3,4,3,2,0,0,2,1,1
2023-02-02,22,1,7,1,0,0,0,2,0,1
2023-02-03,35,1,7,2,0,0,1,0,2,4
2023-02-04,38,1,5,4,2,0,0,4,3,5
2023-02-05,39,0,8,2,0,2,1,4,2,4
2023-02-06,27,0,2,1,0,0,0,3,2,3
2023-02-07,34,1,4,2,0,1,1,1,2,6
2023-02-08,22,0,2,0,0,2,0,1,1,4
2023-02-09,18,1,1,0,0,2,0,2,4,2
2023-02-10,28,2,4,3,0,1,0,0,2,3
2023-02-11,29,1,5,2,2,2,0,1,0,5
2023-02-12,31,2,2,3,0,1,0,3,1,4
2023-02-13,26,0,2,1,0,1,1,1,1,6
2023-02-14,24,0,3,3,0,1,0,0,0,4
2023-02-15,37,1,5,4,0,1,2,0,2,2
2023-02-16,30,3,4,0,1,1,1,0,1,5
2023-02-17,26,2,3,0,1,1,0,1,1,1
2023-02-18,30,0,6,1,1,1,1,0,5,1
2023-02-19,29,1,7,1,2,1,0,1,1,2
2023-02-20,23,1,2,0,1,0,1,0,1,3
2023-02-21,32,4,2,1,0,0,0,1,4,8
2023-02-22,28,2,2,0,0,1,2,0,5,5
2023-02-23,31,1,6,2,0,1,0,0,4,3
2023-02-24,30,1,7,3,0,1,0,1,0,5
2023-02-25,26,1,0,3,0,0,0,3,1,2
2023-02-26,28,4,3,6,0,0,0,2,0,2
2023-02-27,34,0,6,1,0,0,1,0,3,1
2023-02-28,33,0,6,2,1,1,0,1,2,1
2023-03-01,25,0,4,1,0,1,0,1,1,3
2023-03-02,29,0,6,2,0,1,0,0,4,1
2023-03-03,40,0,6,3,1,2,1,2,5,3
2023-03-04,30,0,3,1,0,2,0,0,5,5
2023-03-05,25,2,5,1,0,0,1,0,0,2
2023-03-06,31,1,7,3,0,2,1,1,3,5
2023-03-07,29,3,1,2,1,0,0,0,1,3
2023-03-08,23,0,3,3,0,1,0,0,4,3
2023-03-09,20,2,1,1,0,0,0,2,1,3
2023-03-10,29,2,4,0,0,0,1,1,2,5
2023-03-11,35,1,1,4,0,1,0,1,5,5
2023-03-12,25,1,1,0,0,0,1,0,1,5
2023-03-13,20,1,2,1,0,1,1,0,1,2
2023-03-14,26,3,3,2,0,0,1,1,1,3
2023-03-15,30,0,0,2,1,0,0,1,0,4
2023-03-16,30,0,2,4,0,1,1,1,2,5
2023-03-17,26,0,0,2,0,1,2,2,2,5
2023-03-18,32,0,1,2,0,2,1,2,1,7
2023-03-19,26,0,3,6,0,1,0,0,0,1
2023-03-20,24,0,2,0,0,0,0,1,0,5
2023-03-21,27,4,4,0,0,0,0,0,2,4
2023-03-22,36,5,4,1,0,1,1,0,3,4
2023-03-23,24,1,2,0,0,1,0,0,1,7
2023-03-24,23,1,3,2,0,0,0,0,3,4
2023-03-25,32,1,2,4,0,0,0,1,2,3
2023-03-26,29,0,4,2,0,0,0,0,1,8
2023-03-27,32,1,2,2,0,1,0,2,3,5
2023-03-28,36,0,0,3,0,1,2,0,2,6
2023-03-29,27,2,4,3,0,0,1,2,1,2
2023-03-30,31,0,2,4,0,1,0,2,2,4
2023-03-31,34,0,5,2,0,2,1,2,5,8
2023-04-01,30,2,6,3,1,0,0,0,5,3
2023-04-02,28,0,3,0,0,0,0,2,6,2
2023-04-03,38,1,2,2,0,1,0,0,6,5
2023-04-04,31,0,5,8,1,0,0,2,1,2
