time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,0,12,1,0,17,2,9,5,23
2022-10-12,0,13,0,0,21,2,7,9,24
2022-10-13,1,8,0,0,23,3,6,8,30
2022-10-14,1,9,0,3,21,3,7,12,27
2022-10-15,1,11,1,0,16,7,4,12,26
2022-10-16,0,10,0,0,21,3,14,8,27
2022-10-17,2,10,2,0,19,6,9,10,26
2022-10-18,0,11,0,0,28,3,11,7,27
2022-10-19,2,8,1,1,19,3,14,12,31
2022-10-20,1,13,0,0,24,6,10,13,31
2022-10-21,0,22,1,0,18,6,12,12,31
2022-10-22,0,19,0,0,16,4,11,12,24
2022-10-23,0,6,0,0,20,0,8,14,29
2022-10-24,0,5,0,0,11,3,4,11,27
2022-10-25,2,4,2,0,20,5,5,9,26
2022-10-26,1,3,1,0,16,2,9,13,25
2022-10-27,0,2,0,0,25,1,10,8,27
2022-10-28,1,5,0,0,20,7,14,8,30
2022-10-29,1,4,1,0,17,0,11,9,31
2022-10-30,1,4,0,1,18,7,13,13,26
2022-10-31,0,3,1,0,25,7,9,4,27
2022-11-01,1,1,0,0,21,3,8,11,29
2022-11-02,0,1,1,0,15,3,11,12,31
2022-11-03,0,4,0,0,21,5,11,9,25
2022-11-04,1,2,0,0,18,6,6,14,29
2022-11-05,1,6,0,0,23,3,11,16,31
2022-11-06,0,6,0,0,18,3,6,11,24
2022-11-07,0,1,0,0,17,6,7,13,27
2022-11-08,0,3,0,0,17,10,6,10,26
2022-11-09,0,7,0,0,18,2,10,8,28
2022-11-10,1,3,0,0,18,6,10,11,30
2022-11-11,0,1,2,0,14,7,10,9,27
2022-11-12,0,5,0,0,19,6,11,7,24
2022-11-13,0,5,0,0,23,2,7,14,28
2022-11-14,1,5,0,0,14,2,8,3,31
2022-11-15,2,3,1,0,24,4,12,11,28
2022-11-16,0,3,0,0,21,4,9,12,27
2022-11-17,0,3,1,0,21,7,8,10,28
2022-11-18,1,4,0,0,17,5,10,13,29
2022-11-19,0,4,0,0,14,3,10,13,31
2022-11-20,1,4,1,0,20,5,8,11,30
2022-11-21,2,3,0,0,19,7,12,15,27
2022-11-22,1,3,1,1,21,5,10,16,30
2022-11-23,3,3,0,0,20,5,11,12,31
2022-11-24,1,4,0,0,17,1,10,17,30
2022-11-25,2,3,1,0,17,5,9,17,31
2022-11-26,2,2,0,0,20,6,8,10,31
2022-11-27,0,3,0,0,20,5,6,8,30
2022-11-28,1,5,0,1,26,7,9,7,30
2022-11-29,1,2,0,0,18,6,13,10,30
2022-11-30,0,2,0,1,15,7,11,10,31
2022-12-01,3,4,2,0,18,7,9,14,30
2022-12-02,0,6,0,0,18,1,10,4,3
2022-12-03,0,5,3,0,23,4,10,12,15
2022-12-04,0,2,0,1,21,4,14,14,5
2022-12-05,0,5,1,0,23,0,11,8,2
2022-12-06,0,2,1,0,20,3,10,10,2
2022-12-07,0,5,0,0,18,3,5,12,6
2022-12-08,0,2,0,0,18,2,7,16,5
2022-12-09,1,3,0,0,25,3,10,10,6
2022-12-10,1,3,0,0,20,5,12,10,5
2022-12-11,0,1,0,0,21,4,13,10,5
2022-12-12,0,2,0,0,16,7,10,6,3
2022-12-13,2,2,0,0,19,6,13,7,9
2022-12-14,1,2,0,0,24,8,4,10,3
2022-12-15,1,4,1,1,20,2,9,10,4
2022-12-16,0,4,1,0,23,6,8,12,5
2022-12-17,0,2,1,0,24,4,10,11,13
2022-12-18,3,0,0,0,27,6,7,6,3
2022-12-19,2,2,1,2,19,4,10,11,9
2022-12-20,1,2,2,1,19,4,6,7,1
2022-12-21,1,4,0,0,18,4,6,13,4
2022-12-22,3,3,1,0,23,4,12,12,7
2022-12-23,2,4,3,0,22,4,8,13,17
2022-12-24,0,3,1,1,19,9,9,10,6
2022-12-25,0,4,2,0,18,7,13,11,7
2022-12-26,1,3,0,0,20,1,13,7,9
2022-12-27,0,2,0,1,22,4,13,11,8
2022-12-28,1,3,0,0,17,8,13,10,8
2022-12-29,4,2,0,0,26,4,11,12,8
2022-12-30,1,1,0,1,18,5,12,9,4
2022-12-31,1,2,1,0,18,6,8,10,6
2023-01-01,3,4,0,0,20,3,9,13,3
2023-01-02,0,2,1,0,19,1,12,8,4
2023-01-03,0,4,1,0,21,4,8,18,1
2023-01-04,1,2,1,0,19,4,10,14,3
2023-01-05,0,2,0,1,21,4,10,15,1
2023-01-06,1,4,0,0,25,4,9,9,5
2023-01-07,1,4,0,0,21,8,10,13,6
2023-01-08,1,3,0,1,23,1,8,16,5
2023-01-09,2,3,0,0,22,3,8,10,4
2023-01-10,2,4,0,0,20,7,7,8,3
2023-01-11,2,6,1,0,20,5,10,11,2
2023-01-12,1,1,0,0,24,5,11,13,2
2023-01-13,0,5,0,0,23,6,9,13,2
2023-01-14,2,4,1,0,19,7,12,14,11
2023-01-15,1,0,0,0,17,5,6,13,6
2023-01-16,1,5,0,0,18,4,8,13,5
2023-01-17,1,3,0,1,22,5,11,6,8
2023-01-18,0,4,0,0,20,5,10,10,2
2023-01-19,1,2,0,0,19,6,13,12,3
2023-01-20,0,5,0,0,20,6,12,12,3
2023-01-21,1,2,1,0,21,6,8,13,14
2023-01-22,0,2,0,0,20,7,12,17,4
2023-01-23,0,3,0,0,25,4,15,9,2
2023-01-24,2,4,0,0,18,2,13,11,4
2023-01-25,3,2,0,0,21,5,6,9,4
2023-01-26,1,2,0,0,20,4,9,7,4
2023-01-27,0,1,0,0,26,6,11,14,2
2023-01-28,3,4,2,0,24,2,8,15,5
2023-01-29,3,4,1,2,20,8,10,16,8
2023-01-30,2,2,4,0,19,6,15,11,7
2023-01-31,4,3,3,3,22,9,13,12,2
2023-02-01,3,3,1,0,23,3,8,9,4
2023-02-02,2,5,0,0,23,6,5,12,2
2023-02-03,2,3,0,0,16,7,11,12,4
2023-02-04,0,2,0,0,23,3,9,11,2
2023-02-05,3,0,0,0,21,6,6,12,3
2023-02-06,0,0,0,0,19,8,8,12,2
2023-02-07,2,6,0,0,22,5,16,13,4
2023-02-08,1,1,0,0,28,8,12,10,4
2023-02-09,3,2,0,0,18,5,9,13,3
2023-02-10,1,3,1,1,18,2,10,13,5
2023-02-11,1,2,1,1,23,4,14,10,6
2023-02-12,1,0,0,0,20,5,5,8,3
2023-02-13,0,0,2,0,24,1,8,9,2
2023-02-14,3,5,1,2,20,6,14,11,11
2023-02-15,3,3,0,0,23,7,6,7,2
2023-02-16,2,3,1,0,25,7,9,8,4
2023-02-17,1,2,0,0,20,8,7,14,7
2023-02-18,0,4,1,1,18,9,10,12,1
2023-02-19,1,0,0,0,17,3,9,8,2
2023-02-20,3,2,0,0,23,9,6,12,2
2023-02-21,1,1,1,0,20,6,13,10,2
2023-02-22,1,2,1,0,21,2,9,13,2
2023-02-23,0,2,0,0,22,2,9,13,2
2023-02-24,1,2,0,0,19,3,6,5,3
2023-02-25,1,6,2,0,24,5,9,10,3
2023-02-26,2,3,0,0,21,5,7,8,0
2023-02-27,0,2,1,0,19,2,10,10,2
2023-02-28,3,1,1,0,24,9,6,8,3
2023-03-01,1,3,1,0,19,5,8,13,3
2023-03-02,0,1,0,0,21,3,9,10,3
2023-03-03,2,1,0,0,20,4,10,15,2
2023-03-04,3,3,0,0,25,4,9,9,4
2023-03-05,1,1,0,0,19,3,11,10,0
2023-03-06,1,2,0,0,21,5,10,12,5
2023-03-07,0,0,1,0,21,4,11,9,2
2023-03-08,1,1,1,0,19,8,10,13,3
2023-03-09,1,0,0,0,18,3,8,10,4
2023-03-10,0,1,0,0,22,2,15,15,2
2023-03-11,0,0,0,0,19,5,12,10,1
2023-03-12,1,4,1,0,22,5,9,10,3
2023-03-13,0,2,0,0,21,3,8,8,1
2023-03-14,0,2,0,1,15,6,10,6,2
2023-03-15,0,0,2,0,20,7,8,11,1
2023-03-16,1,2,2,0,26,9,10,7,4
2023-03-17,1,4,1,0,18,9,8,10,2
2023-03-18,0,2,0,0,26,2,12,6,5
2023-03-19,1,3,0,0,26,3,6,10,3
2023-03-20,1,5,1,0,14,3,12,5,2
2023-03-21,2,0,1,0,19,7,14,13,2
2023-03-22,2,4,1,0,15,3,5,9,6
2023-03-23,0,3,0,0,22,5,5,11,4
2023-03-24,0,2,0,0,20,4,7,7,4
2023-03-25,1,3,0,0,18,3,11,12,5
2023-03-26,0,3,0,0,19,3,9,10,4
2023-03-27,0,2,0,0,22,1,11,6,3
2023-03-28,1,2,0,0,20,4,6,12,4
2023-03-29,0,4,0,0,16,8,8,7,5
2023-03-30,0,3,0,0,20,7,9,13,4
2023-03-31,0,4,2,0,22,2,9,12,4
2023-04-01,1,2,0,0,15,2,9,14,1
2023-04-02,1,4,0,0,20,3,8,13,3
2023-04-03,1,3,0,0,19,3,7,8,2
2023-04-04,0,6,0,0,14,3,6,7,2
2023-04-05,1,6,1,0,21,8,6,6,3
2023-04-06,1,8,1,0,17,1,5,8,1
2023-04-07,0,1,1,0,18,4,11,12,0
2023-04-08,0,5,1,0,17,8,9,9,4
2023-04-09,1,3,0,1,24,4,6,13,2
2023-04-10,0,3,0,0,18,4,14,9,5
2023-04-11,10,7,10,9,18,12,16,12,13
2023-04-12,1,5,0,0,18,5,9,13,3
2023-04-13,0,1,0,0,17,3,10,12,2
2023-04-14,1,1,0,0,24,2,8,11,4
2023-04-15,0,2,0,0,22,4,10,13,3
2023-04-16,0,4,0,0,19,2,7,13,1
2023-04-17,1,4,1,0,23,4,8,9,6
2023-04-18,0,0,0,0,15,1,8,11,4
2023-04-19,0,3,0,0,26,2,7,11,1
2023-04-20,0,5,1,0,21,7,5,11,3
2023-04-21,1,4,0,0,19,2,7,17,2
2023-04-22,0,2,1,0,23,8,10,12,3
2023-04-23,2,3,0,0,21,6,10,4,3
2023-04-24,2,2,0,1,19,6,9,14,1
2023-04-25,0,3,0,0,17,4,8,9,2
2023-04-26,2,3,0,0,16,4,4,10,10
2023-04-27,1,0,0,0,20,8,14,14,3
2023-04-28,1,1,1,0,21,3,12,12,13
2023-04-29,0,1,0,0,19,4,14,9,3
2023-04-30,1,3,2,0,17,9,16,9,3
2023-05-01,0,3,0,0,18,4,12,12,2
2023-05-02,1,6,1,0,19,4,6,12,1
2023-05-03,1,5,1,0,21,6,12,8,1
2023-05-04,0,4,1,0,23,6,9,11,2
2023-05-05,0,3,0,0,20,6,13,5,1
2023-05-06,3,3,0,0,21,3,7,11,1
2023-05-07,2,4,0,1,20,5,12,11,2
2023-05-08,0,4,1,0,18,8,5,10,4
2023-05-09,0,5,1,0,18,4,10,11,4
2023-05-10,1,5,3,0,17,6,14,10,6
2023-05-11,1,4,0,0,20,10,11,10,2
2023-05-12,1,1,0,0,19,6,8,13,2
2023-05-13,0,3,0,0,22,4,8,5,2
2023-05-14,2,8,0,1,21,6,7,10,5
2023-05-15,0,3,0,0,19,2,12,9,2
2023-05-16,0,2,0,0,19,5,8,12,5
2023-05-17,2,3,0,0,20,6,5,5,4
2023-05-18,1,3,0,0,18,7,12,7,0
2023-05-19,1,6,1,0,24,4,11,8,2
2023-05-20,1,3,0,0,21,4,12,10,3
2023-05-21,2,2,0,0,25,4,5,13,2
2023-05-22,0,2,0,0,20,3,9,10,4
2023-05-23,1,4,0,2,27,5,9,10,2
2023-05-24,0,3,1,0,21,4,12,12,1
2023-05-25,1,6,1,1,18,10,16,10,3
2023-05-26,1,3,1,0,24,7,14,11,3
2023-05-27,0,4,0,0,21,3,7,0,4
2023-05-28,1,5,0,0,17,5,8,3,2
2023-05-29,0,2,1,1,17,6,8,2,9
2023-05-30,1,7,1,0,23,3,10,1,6
2023-05-31,1,5,0,0,21,4,10,4,3
2023-06-01,2,4,0,0,22,3,8,2,2
2023-06-02,0,4,0,0,21,6,11,0,3
2023-06-03,3,9,5,5,20,8,16,6,5
2023-06-04,2,3,3,0,18,5,10,0,7
2023-06-05,0,5,0,0,24,5,11,1,4
2023-06-06,2,5,1,0,23,6,17,2,2
2023-06-07,0,3,0,2,20,6,11,1,3
2023-06-08,1,4,0,0,23,10,12,0,2
2023-06-09,1,1,0,0,25,6,16,2,5
2023-06-10,1,5,1,0,16,1,18,1,2
2023-06-11,0,3,1,0,19,6,13,1,21
2023-06-12,1,0,0,0,22,6,13,2,21
2023-06-13,4,4,3,0,21,6,11,4,22
2023-06-14,0,5,1,0,19,4,10,2,22
2023-06-15,0,1,0,0,27,8,14,2,23
2023-06-16,2,5,0,1,22,5,11,0,9
2023-06-17,0,2,1,0,22,8,14,2,24
2023-06-18,3,8,0,0,26,5,8,0,23
2023-06-19,1,1,1,1,23,5,13,2,24
2023-06-20,1,9,0,0,19,8,19,1,24
2023-06-21,2,5,0,0,22,6,7,4,2
2023-06-22,2,2,2,0,22,4,9,2,17
2023-06-23,1,3,3,0,18,10,12,0,24
2023-06-24,1,4,0,0,21,6,12,2,1
2023-06-25,1,3,0,0,20,7,10,0,5
2023-06-26,1,7,2,0,13,8,16,1,3
2023-06-27,0,4,1,0,22,4,9,2,3
2023-06-28,0,5,0,0,18,8,9,3,2
2023-06-29,2,2,1,0,17,8,12,2,3
2023-06-30,1,3,0,0,19,8,13,2,1
2023-07-01,1,4,1,1,20,6,8,3,4
2023-07-02,0,3,0,1,24,5,5,1,1
2023-07-03,0,2,0,0,21,5,14,0,4
2023-07-04,0,5,0,0,18,6,12,0,4
2023-07-05,0,4,0,0,25,11,11,1,9
2023-07-06,1,4,0,0,26,5,12,1,1
2023-07-07,0,8,2,0,28,4,13,2,4
2023-07-08,2,8,0,1,21,7,14,0,7
2023-07-09,0,9,0,0,23,3,12,0,2
2023-07-10,0,11,0,0,20,10,10,2,5
2023-07-11,0,7,1,0,19,7,12,0,8
2023-07-12,1,6,0,0,24,8,5,1,5
2023-07-13,0,24,0,0,21,5,13,1,5
2023-07-14,1,22,0,0,19,3,14,3,7
2023-07-15,1,25,0,0,23,9,10,2,2
2023-07-16,2,23,0,0,21,4,11,3,9
2023-07-17,1,27,0,0,16,2,6,3,4
2023-07-18,1,6,0,0,22,8,20,1,5
2023-07-19,2,3,0,0,17,6,11,1,6
2023-07-20,0,10,0,0,29,5,14,2,10
2023-07-21,0,7,1,0,22,3,13,0,3
2023-07-22,0,6,0,0,25,6,10,0,6
2023-07-23,1,6,0,0,21,10,7,1,2
2023-07-24,1,7,1,0,20,6,14,0,7
2023-07-25,1,11,0,0,22,9,12,2,6
2023-07-26,2,5,0,0,19,4,10,1,5
2023-07-27,1,5,1,0,25,8,13,2,6
2023-07-28,0,5,0,0,22,10,13,0,7
2023-07-29,2,6,0,0,20,6,7,3,3
2023-07-30,1,7,1,0,23,8,14,1,8
2023-07-31,0,7,1,0,23,5,10,1,8
2023-08-01,0,6,0,0,26,10,11,1,7
2023-08-02,2,6,0,0,21,3,12,2,8
2023-08-03,1,6,0,0,29,6,19,1,4
2023-08-04,0,10,0,0,22,5,10,0,4
2023-08-05,0,9,0,0,24,4,11,0,6
2023-08-06,0,8,0,0,19,7,11,2,3
2023-08-07,1,6,0,0,19,8,10,1,8
2023-08-08,1,11,0,0,18,4,12,2,5
2023-08-09,1,13,0,0,22,11,12,1,10
2023-08-10,0,6,0,0,23,9,12,2,10
2023-08-11,0,6,0,0,23,10,17,1,9
2023-08-12,1,6,1,0,26,2,15,2,7
2023-08-13,0,8,0,0,26,7,12,4,5
2023-08-14,1,8,0,0,24,6,12,4,9
2023-08-15,0,8,0,0,23,9,15,2,3
2023-08-16,0,9,1,0,19,8,15,1,9
2023-08-17,1,7,1,0,27,11,11,1,8
2023-08-18,0,5,0,0,28,9,10,3,7
2023-08-19,0,6,0,0,22,12,14,1,8
2023-08-20,1,4,0,0,21,6,10,2,8
2023-08-21,2,9,0,0,24,7,14,1,13
2023-08-22,1,8,0,0,22,6,17,4,8
2023-08-23,1,6,0,0,22,3,12,6,9
2023-08-24,1,10,0,0,27,7,14,1,11
2023-08-25,0,8,1,0,24,8,16,1,6
2023-08-26,0,7,0,0,24,4,10,5,5
2023-08-27,2,8,0,0,21,4,12,4,6
2023-08-28,0,6,0,0,20,9,10,2,10
2023-08-29,0,9,0,0,22,12,13,1,5
2023-08-30,1,7,0,0,24,7,10,2,8
2023-08-31,1,10,1,0,25,10,13,1,3
2023-09-01,0,9,0,0,24,7,10,2,7
2023-09-02,1,6,0,0,18,10,15,2,9
2023-09-03,0,6,0,0,28,11,11,2,8
2023-09-04,1,6,1,0,25,6,9,2,7
2023-09-05,1,4,1,0,25,7,12,0,8
2023-09-06,1,7,0,0,21,3,12,4,9
2023-09-07,0,6,0,0,22,7,12,3,9
2023-09-08,2,6,0,0,25,7,9,1,14
2023-09-09,1,8,0,0,19,8,11,2,9
2023-09-10,2,7,1,0,25,1,16,1,8
2023-09-11,1,7,0,0,22,4,12,1,9
2023-09-12,2,4,2,0,23,11,15,1,6
2023-09-13,3,6,0,0,28,5,16,4,4
2023-09-14,0,10,0,0,24,10,11,2,9
2023-09-15,0,8,1,0,26,8,17,2,9
2023-09-16,0,8,0,0,19,7,11,1,9
2023-09-17,1,8,0,0,21,4,10,6,5
2023-09-18,0,8,0,0,29,3,11,3,8
2023-09-19,3,5,1,0,22,6,11,2,10
2023-09-20,4,7,0,0,22,10,10,1,9
2023-09-21,0,6,0,0,28,7,5,3,9
2023-09-22,1,8,1,0,25,4,16,1,6
2023-09-23,1,8,0,0,26,4,11,1,7
2023-09-24,1,6,0,0,20,11,9,3,8
2023-09-25,2,10,0,0,27,10,14,1,10
2023-09-26,1,4,0,0,24,7,11,1,6
2023-09-27,0,8,0,0,19,11,11,3,5
2023-09-28,3,8,0,0,24,7,14,2,7
