time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,0.0,0.387,0.028,0.0,0.459,0.054,0.25,0.185,0.742
2022-10-12,0.0,0.419,0.0,0.0,0.568,0.054,0.194,0.273,0.774
2022-10-13,0.026,0.258,0.0,0.0,0.622,0.081,0.167,0.25,0.968
2022-10-14,0.026,0.29,0.0,0.081,0.568,0.081,0.194,0.353,0.871
2022-10-15,0.026,0.355,0.028,0.0,0.432,0.189,0.111,0.353,0.839
2022-10-16,0.0,0.323,0.0,0.0,0.568,0.081,0.389,0.235,0.871
2022-10-17,0.051,0.323,0.056,0.0,0.514,0.162,0.25,0.303,0.839
2022-10-18,0.0,0.355,0.0,0.0,0.757,0.081,0.306,0.233,0.871
2022-10-19,0.051,0.258,0.028,0.027,0.514,0.081,0.389,0.353,1.0
2022-10-20,0.026,0.419,0.0,0.0,0.649,0.162,0.278,0.371,1.0
2022-10-21,0.0,0.71,0.028,0.0,0.486,0.162,0.333,0.343,1.0
2022-10-22,0.0,0.613,0.0,0.0,0.432,0.108,0.306,0.343,0.774
2022-10-23,0.0,0.194,0.0,0.0,0.541,0.0,0.222,0.368,0.935
2022-10-24,0.0,0.161,0.0,0.0,0.297,0.081,0.111,0.333,0.871
2022-10-25,0.051,0.129,0.056,0.0,0.541,0.135,0.139,0.273,0.839
2022-10-26,0.026,0.097,0.028,0.0,0.432,0.054,0.25,0.371,0.806
2022-10-27,0.0,0.065,0.0,0.0,0.676,0.027,0.278,0.242,0.871
2022-10-28,0.026,0.161,0.0,0.0,0.541,0.189,0.389,0.267,0.968
2022-10-29,0.026,0.129,0.028,0.0,0.459,0.0,0.306,0.3,1.0
2022-10-30,0.026,0.129,0.0,0.027,0.486,0.189,0.361,0.361,0.839
2022-10-31,0.0,0.097,0.028,0.0,0.676,0.189,0.25,0.138,0.871
2022-11-01,0.026,0.032,0.0,0.0,0.568,0.081,0.222,0.344,0.935
2022-11-02,0.0,0.032,0.028,0.0,0.405,0.081,0.306,0.333,1.0
2022-11-03,0.0,0.129,0.0,0.0,0.568,0.135,0.306,0.281,0.806
2022-11-04,0.026,0.065,0.0,0.0,0.486,0.162,0.167,0.412,0.935
2022-11-05,0.026,0.194,0.0,0.0,0.622,0.081,0.306,0.444,1.0
2022-11-06,0.0,0.194,0.0,0.0,0.486,0.081,0.167,0.306,0.774
2022-11-07,0.0,0.032,0.0,0.0,0.459,0.162,0.194,0.382,0.871
2022-11-08,0.0,0.097,0.0,0.0,0.459,0.27,0.167,0.286,0.839
2022-11-09,0.0,0.226,0.0,0.0,0.486,0.054,0.278,0.242,0.903
2022-11-10,0.026,0.097,0.0,0.0,0.486,0.162,0.278,0.314,0.968
2022-11-11,0.0,0.032,0.056,0.0,0.378,0.189,0.278,0.273,0.871
2022-11-12,0.0,0.161,0.0,0.0,0.514,0.162,0.306,0.219,0.774
2022-11-13,0.0,0.161,0.0,0.0,0.622,0.054,0.194,0.378,0.903
2022-11-14,0.026,0.161,0.0,0.0,0.378,0.054,0.222,0.103,1.0
2022-11-15,0.051,0.097,0.028,0.0,0.649,0.108,0.333,0.314,0.903
2022-11-16,0.0,0.097,0.0,0.0,0.568,0.108,0.25,0.316,0.871
2022-11-17,0.0,0.071,0.028,0.0,0.568,0.189,0.222,0.312,0.903
2022-11-18,0.026,0.129,0.0,0.0,0.459,0.135,0.278,0.406,0.935
2022-11-19,0.0,0.129,0.0,0.0,0.378,0.081,0.278,0.342,1.0
2022-11-20,0.026,0.129,0.028,0.0,0.541,0.135,0.222,0.324,0.968
2022-11-21,0.051,0.097,0.0,0.0,0.514,0.189,0.333,0.405,0.871
