time,node_network,node_bloom,node_witness,node_compact_filters,node_network_limited,node_p2p_v2
2022-10-11,0.798,0.309,0.881,0.052,0.876,0.0
2022-10-12,0.788,0.312,0.87,0.052,0.865,0.0
2022-10-13,0.788,0.308,0.872,0.052,0.867,0.0
2022-10-14,0.794,0.307,0.876,0.051,0.871,0.0
2022-10-15,0.802,0.31,0.883,0.052,0.877,0.0
2022-10-16,0.802,0.313,0.883,0.053,0.878,0.0
2022-10-17,0.793,0.308,0.874,0.052,0.869,0.0
2022-10-18,0.795,0.308,0.875,0.052,0.87,0.0
2022-10-19,0.788,0.306,0.867,0.052,0.862,0.0
2022-10-20,0.793,0.306,0.874,0.053,0.869,0.0
2022-10-21,0.798,0.306,0.879,0.052,0.874,0.0
2022-10-22,0.801,0.309,0.881,0.054,0.876,0.0
2022-10-23,0.802,0.309,0.882,0.054,0.877,0.0
2022-10-24,0.804,0.309,0.883,0.054,0.878,0.0
2022-10-25,0.804,0.311,0.884,0.054,0.879,0.0
2022-10-26,0.793,0.306,0.871,0.055,0.866,0.0
2022-10-27,0.805,0.309,0.885,0.055,0.88,0.0
2022-10-28,0.795,0.307,0.875,0.053,0.87,0.0
2022-10-29,0.798,0.308,0.88,0.054,0.876,0.0
2022-10-30,0.79,0.308,0.874,0.055,0.869,0.0
2022-10-31,0.79,0.307,0.875,0.054,0.87,0.0
2022-11-01,0.781,0.305,0.865,0.054,0.86,0.0
2022-11-02,0.783,0.304,0.868,0.054,0.863,0.0
2022-11-03,0.773,0.301,0.86,0.055,0.856,0.0
2022-11-04,0.781,0.304,0.868,0.055,0.863,0.001
2022-11-05,0.789,0.304,0.875,0.055,0.87,0.001
2022-11-06,0.793,0.305,0.878,0.055,0.873,0.001
2022-11-07,0.79,0.306,0.874,0.055,0.87,0.001
2022-11-08,0.789,0.305,0.873,0.054,0.868,0.001
2022-11-09,0.785,0.304,0.87,0.053,0.865,0.001
2022-11-10,0.788,0.307,0.874,0.054,0.869,0.001
2022-11-11,0.787,0.303,0.869,0.054,0.865,0.001
2022-11-12,0.798,0.304,0.883,0.055,0.878,0.001
2022-11-13,0.799,0.304,0.883,0.054,0.878,0.0
2022-11-14,0.803,0.302,0.884,0.054,0.879,0.0
2022-11-15,0.788,0.3,0.869,0.053,0.865,0.0
2022-11-16,0.787,0.299,0.869,0.053,0.865,0.001
2022-11-17,0.787,0.298,0.867,0.053,0.863,0.001
2022-11-18,0.789,0.296,0.871,0.054,0.866,0.001
2022-11-19,0.794,0.301,0.878,0.053,0.873,0.001
2022-11-20,0.783,0.296,0.867,0.053,0.862,0.001
2022-11-21,0.795,0.301,0.881,0.054,0.876,0.001
2022-11-22,0.791,0.297,0.875,0.053,0.87,0.001
2022-11-23,0.792,0.3,0.877,0.055,0.872,0.001
2022-11-24,0.784,0.298,0.869,0.055,0.864,0.001
2022-11-25,0.787,0.298,0.871,0.054,0.866,0.001
2022-11-26,0.792,0.299,0.877,0.053,0.872,0.001
2022-11-27,0.798,0.298,0.882,0.054,0.877,0.001
2022-11-28,0.802,0.295,0.884,0.053,0.879,0.001
2022-11-29,0.799,0.297,0.882,0.054,0.877,0.001
2022-11-30,0.799,0.298,0.881,0.054,0.876,0.001
2022-12-01,0.799,0.298,0.88,0.054,0.875,0.001
2022-12-02,0.798,0.297,0.88,0.055,0.875,0.0
2022-12-03,0.792,0.293,0.875,0.053,0.87,0.0
2022-12-04,0.793,0.292,0.877,0.053,0.872,0.001
2022-12-05,0.794,0.295,0.875,0.054,0.87,0.0
2022-12-06,0.793,0.292,0.875,0.053,0.87,0.001
2022-12-07,0.796,0.296,0.879,0.054,0.874,0.001
2022-12-08,0.79,0.294,0.875,0.054,0.87,0.001
2022-12-09,0.794,0.295,0.877,0.056,0.872,0.001
2022-12-10,0.794,0.293,0.879,0.053,0.874,0.001
2022-12-11,0.79,0.294,0.874,0.052,0.87,0.0
2022-12-12,0.789,0.291,0.872,0.054,0.868,0.0
2022-12-13,0.784,0.291,0.868,0.054,0.863,0.001
2022-12-14,0.782,0.29,0.865,0.053,0.86,0.0
2022-12-15,0.79,0.29,0.873,0.054,0.868,0.001
2022-12-16,0.787,0.289,0.871,0.052,0.866,0.001
2022-12-17,0.787,0.288,0.87,0.052,0.866,0.001
2022-12-18,0.79,0.288,0.873,0.052,0.868,0.001
2022-12-19,0.782,0.285,0.865,0.051,0.86,0.001
2022-12-20,0.785,0.286,0.87,0.051,0.865,0.001
2022-12-21,0.788,0.286,0.872,0.051,0.867,0.001
2022-12-22,0.791,0.288,0.876,0.052,0.872,0.001
2022-12-23,0.786,0.288,0.872,0.056,0.867,0.001
2022-12-24,0.789,0.29,0.875,0.06,0.87,0.001
2022-12-25,0.787,0.291,0.874,0.057,0.869,0.001
2022-12-26,0.787,0.29,0.874,0.06,0.869,0.001
2022-12-27,0.787,0.29,0.872,0.061,0.868,0.001
2022-12-28,0.786,0.289,0.872,0.06,0.867,0.001
2022-12-29,0.787,0.29,0.873,0.062,0.868,0.001
2022-12-30,0.789,0.291,0.875,0.063,0.87,0.001
2022-12-31,0.789,0.291,0.874,0.064,0.869,0.001
2023-01-01,0.786,0.29,0.871,0.065,0.866,0.001
2023-01-02,0.785,0.29,0.871,0.064,0.866,0.001
2023-01-03,0.789,0.291,0.873,0.065,0.869,0.001
2023-01-04,0.789,0.291,0.873,0.065,0.868,0.001
2023-01-05,0.786,0.292,0.869,0.067,0.864,0.001
2023-01-06,0.78,0.292,0.864,0.067,0.86,0.001
2023-01-07,0.791,0.295,0.875,0.067,0.87,0.001
2023-01-08,0.792,0.297,0.877,0.069,0.873,0.001
2023-01-09,0.778,0.291,0.862,0.069,0.858,0.001
2023-01-10,0.781,0.293,0.864,0.07,0.859,0.001
2023-01-11,0.785,0.297,0.868,0.071,0.864,0.001
2023-01-12,0.787,0.297,0.87,0.073,0.865,0.001
2023-01-13,0.798,0.299,0.881,0.073,0.877,0.001
2023-01-14,0.8,0.301,0.883,0.073,0.879,0.001
2023-01-15,0.793,0.295,0.876,0.072,0.872,0.001
2023-01-16,0.797,0.297,0.879,0.073,0.875,0.001
2023-01-17,0.79,0.296,0.872,0.074,0.868,0.001
2023-01-18,0.791,0.297,0.875,0.074,0.87,0.001
2023-01-19,0.791,0.297,0.872,0.075,0.868,0.001
2023-01-20,0.787,0.293,0.87,0.074,0.866,0.001
2023-01-21,0.783,0.295,0.866,0.077,0.862,0.001
2023-01-22,0.784,0.297,0.868,0.076,0.863,0.001
2023-01-23,0.786,0.297,0.869,0.077,0.864,0.001
2023-01-24,0.789,0.295,0.871,0.076,0.867,0.001
2023-01-25,0.793,0.297,0.876,0.076,0.872,0.001
2023-01-26,0.793,0.297,0.876,0.075,0.871,0.001
2023-01-27,0.789,0.296,0.872,0.078,0.868,0.001
2023-01-28,0.79,0.298,0.87,0.08,0.866,0.001
2023-01-29,0.788,0.297,0.869,0.078,0.864,0.001
2023-01-30,0.791,0.299,0.87,0.078,0.867,0.001
2023-01-31,0.787,0.299,0.868,0.08,0.864,0.001
2023-02-01,0.782,0.296,0.864,0.081,0.86,0.001
2023-02-02,0.797,0.3,0.88,0.082,0.876,0.001
2023-02-03,0.784,0.298,0.865,0.083,0.861,0.001
2023-02-04,0.786,0.3,0.87,0.085,0.865,0.001
2023-02-05,0.792,0.298,0.875,0.081,0.871,0.001
2023-02-06,0.786,0.295,0.868,0.079,0.864,0.001
2023-02-07,0.79,0.297,0.873,0.08,0.869,0.001
2023-02-08,0.785,0.293,0.869,0.075,0.865,0.001
2023-02-09,0.78,0.295,0.864,0.08,0.86,0.001
2023-02-10,0.787,0.296,0.871,0.081,0.867,0.001
2023-02-11,0.781,0.293,0.864,0.081,0.859,0.001
2023-02-12,0.785,0.292,0.868,0.082,0.863,0.001
2023-02-13,0.785,0.293,0.869,0.083,0.865,0.001
2023-02-14,0.786,0.291,0.87,0.079,0.865,0.001
2023-02-15,0.793,0.292,0.876,0.078,0.871,0.001
2023-02-16,0.785,0.29,0.868,0.079,0.864,0.001
2023-02-17,0.793,0.292,0.876,0.081,0.872,0.001
2023-02-18,0.776,0.287,0.86,0.08,0.856,0.001
2023-02-19,0.776,0.287,0.859,0.08,0.854,0.001
2023-02-20,0.779,0.289,0.861,0.08,0.857,0.001
2023-02-21,0.781,0.289,0.864,0.08,0.86,0.001
2023-02-22,0.783,0.289,0.865,0.081,0.861,0.001
2023-02-23,0.789,0.291,0.872,0.082,0.868,0.001
2023-02-24,0.783,0.29,0.867,0.084,0.863,0.001
2023-02-25,0.781,0.291,0.865,0.083,0.861,0.001
2023-02-26,0.794,0.293,0.877,0.085,0.873,0.001
2023-02-27,0.771,0.29,0.854,0.083,0.85,0.001
2023-02-28,0.798,0.296,0.881,0.085,0.876,0.001
2023-03-01,0.777,0.294,0.858,0.084,0.854,0.001
2023-03-02,0.795,0.295,0.876,0.087,0.872,0.001
2023-03-03,0.785,0.294,0.867,0.089,0.864,0.001
2023-03-04,0.784,0.294,0.868,0.087,0.864,0.001
2023-03-05,0.773,0.289,0.855,0.086,0.851,0.001
2023-03-06,0.779,0.294,0.863,0.088,0.859,0.001
2023-03-07,0.788,0.295,0.872,0.091,0.868,0.001
2023-03-08,0.799,0.299,0.882,0.091,0.878,0.001
2023-03-09,0.793,0.296,0.877,0.089,0.874,0.001
2023-03-10,0.786,0.298,0.868,0.091,0.864,0.001
2023-03-11,0.776,0.294,0.857,0.088,0.853,0.001
2023-03-12,0.771,0.297,0.853,0.09,0.849,0.001
2023-03-13,0.77,0.294,0.853,0.09,0.849,0.001
2023-03-14,0.77,0.293,0.851,0.09,0.848,0.001
2023-03-15,0.768,0.297,0.85,0.093,0.846,0.001
2023-03-16,0.767,0.295,0.85,0.091,0.846,0.001
2023-03-17,0.759,0.292,0.841,0.092,0.837,0.001
2023-03-18,0.773,0.296,0.854,0.092,0.85,0.001
2023-03-19,0.766,0.295,0.848,0.093,0.844,0.001
2023-03-20,0.804,0.303,0.886,0.094,0.882,0.001
2023-03-21,0.789,0.326,0.868,0.089,0.865,0.001
2023-03-22,0.787,0.325,0.865,0.091,0.861,0.001
2023-03-23,0.771,0.323,0.849,0.091,0.845,0.001
2023-03-24,0.778,0.322,0.857,0.09,0.853,0.001
2023-03-25,0.791,0.326,0.868,0.092,0.864,0.001
2023-03-26,0.79,0.325,0.868,0.091,0.864,0.001
2023-03-27,0.774,0.322,0.852,0.092,0.849,0.001
2023-03-28,0.775,0.323,0.852,0.093,0.849,0.001
2023-03-29,0.778,0.324,0.855,0.095,0.851,0.001
2023-03-30,0.774,0.322,0.852,0.095,0.849,0.001
2023-03-31,0.781,0.324,0.859,0.095,0.856,0.001
2023-04-01,0.773,0.321,0.852,0.096,0.848,0.001
2023-04-02,0.78,0.323,0.858,0.095,0.853,0.001
2023-04-03,0.779,0.322,0.859,0.094,0.855,0.001
2023-04-04,0.788,0.325,0.868,0.099,0.864,0.001
2023-04-05,0.783,0.324,0.862,0.1,0.858,0.001
2023-04-06,0.773,0.322,0.852,0.097,0.848,0.001
2023-04-07,0.78,0.326,0.861,0.1,0.857,0.001
2023-04-08,0.79,0.328,0.869,0.098,0.865,0.001
2023-04-09,0.769,0.32,0.847,0.096,0.843,0.001
2023-04-10,0.796,0.329,0.876,0.098,0.872,0.001
2023-04-11,0.8,0.329,0.879,0.1,0.875,0.001
2023-04-12,0.795,0.326,0.874,0.098,0.87,0.001
2023-04-13,0.777,0.323,0.857,0.099,0.853,0.001
2023-04-14,0.774,0.32,0.856,0.1,0.852,0.001
2023-04-15,0.766,0.318,0.846,0.099,0.842,0.001
2023-04-16,0.774,0.32,0.855,0.1,0.851,0.001
2023-04-17,0.765,0.314,0.845,0.098,0.841,0.001
2023-04-18,0.773,0.317,0.853,0.102,0.849,0.001
2023-04-19,0.779,0.32,0.861,0.102,0.858,0.001
2023-04-20,0.779,0.321,0.861,0.101,0.858,0.001
2023-04-21,0.766,0.32,0.848,0.101,0.844,0.001
2023-04-22,0.773,0.319,0.855,0.101,0.852,0.001
2023-04-23,0.781,0.319,0.862,0.099,0.858,0.001
2023-04-24,0.792,0.324,0.873,0.102,0.87,0.001
2023-04-25,0.793,0.326,0.875,0.105,0.871,0.001
2023-04-26,0.789,0.326,0.868,0.104,0.864,0.001
2023-04-27,0.785,0.324,0.866,0.105,0.863,0.001
2023-04-28,0.787,0.326,0.867,0.106,0.863,0.001
2023-04-29,0.791,0.326,0.872,0.105,0.868,0.0
2023-04-30,0.785,0.315,0.867,0.087,0.862,0.0
2023-05-01,0.768,0.31,0.847,0.082,0.843,0.0
2023-05-02,0.765,0.31,0.844,0.082,0.84,0.0
2023-05-03,0.753,0.307,0.83,0.082,0.826,0.0
2023-05-04,0.757,0.31,0.835,0.083,0.83,0.0
2023-05-05,0.758,0.314,0.835,0.089,0.831,0.0
2023-05-06,0.751,0.311,0.826,0.087,0.822,0.0
2023-05-07,0.72,0.31,0.788,0.087,0.784,0.0
2023-05-08,0.654,0.302,0.713,0.083,0.71,0.0
2023-05-09,0.658,0.304,0.716,0.086,0.712,0.0
2023-05-10,0.668,0.307,0.727,0.089,0.723,0.0
2023-05-11,0.668,0.305,0.729,0.09,0.725,0.0
2023-05-12,0.682,0.309,0.747,0.095,0.743,0.0
2023-05-13,0.693,0.314,0.756,0.096,0.752,0.0
2023-05-14,0.7,0.312,0.765,0.096,0.761,0.0
2023-05-15,0.702,0.314,0.769,0.099,0.766,0.0
2023-05-16,0.702,0.314,0.769,0.099,0.766,0.0
2023-05-17,0.716,0.315,0.786,0.1,0.782,0.0
2023-05-18,0.722,0.316,0.792,0.102,0.789,0.0
2023-05-19,0.715,0.315,0.785,0.103,0.782,0.0
2023-05-20,0.728,0.32,0.798,0.105,0.795,0.0
2023-05-21,0.729,0.32,0.801,0.104,0.797,0.0
2023-05-22,0.739,0.32,0.81,0.105,0.807,0.0
2023-05-23,0.732,0.317,0.803,0.102,0.8,0.0
2023-05-24,0.737,0.315,0.809,0.103,0.806,0.0
2023-05-25,0.747,0.318,0.821,0.107,0.818,0.0
2023-05-26,0.744,0.318,0.816,0.108,0.813,0.0
2023-05-27,0.752,0.32,0.826,0.109,0.823,0.0
2023-05-28,0.756,0.319,0.832,0.106,0.828,0.0
2023-05-29,0.761,0.323,0.838,0.11,0.834,0.0
2023-05-30,0.759,0.321,0.835,0.11,0.831,0.0
2023-05-31,0.76,0.323,0.836,0.111,0.832,0.0
2023-06-01,0.767,0.323,0.846,0.113,0.842,0.0
2023-06-02,0.769,0.322,0.847,0.112,0.843,0.0
2023-06-03,0.77,0.33,0.847,0.117,0.844,0.0
2023-06-04,0.763,0.322,0.84,0.113,0.837,0.0
2023-06-05,0.774,0.325,0.853,0.115,0.85,0.0
2023-06-06,0.77,0.322,0.85,0.114,0.846,0.0
2023-06-07,0.766,0.322,0.844,0.115,0.841,0.0
2023-06-08,0.778,0.324,0.857,0.117,0.853,0.0
2023-06-09,0.769,0.322,0.849,0.117,0.846,0.0
2023-06-10,0.783,0.326,0.865,0.118,0.862,0.0
2023-06-11,0.786,0.325,0.868,0.117,0.864,0.0
2023-06-12,0.781,0.324,0.863,0.116,0.86,0.0
2023-06-13,0.788,0.327,0.87,0.119,0.866,0.0
2023-06-14,0.784,0.327,0.865,0.121,0.862,0.0
2023-06-15,0.778,0.326,0.86,0.12,0.857,0.0
2023-06-16,0.779,0.325,0.861,0.122,0.858,0.0
2023-06-17,0.774,0.325,0.856,0.121,0.853,0.0
2023-06-18,0.774,0.323,0.857,0.119,0.854,0.0
2023-06-19,0.763,0.319,0.845,0.118,0.842,0.0
2023-06-20,0.783,0.326,0.865,0.121,0.861,0.0
2023-06-21,0.774,0.323,0.856,0.122,0.853,0.0
2023-06-22,0.764,0.317,0.846,0.118,0.843,0.0
2023-06-23,0.775,0.323,0.859,0.121,0.855,0.0
2023-06-24,0.771,0.319,0.854,0.118,0.851,0.0
2023-06-25,0.771,0.319,0.854,0.118,0.851,0.0
2023-06-26,0.773,0.316,0.857,0.116,0.854,0.0
2023-06-27,0.776,0.32,0.86,0.12,0.857,0.0
2023-06-28,0.782,0.322,0.865,0.122,0.862,0.0
2023-06-29,0.784,0.323,0.868,0.122,0.865,0.0
2023-06-30,0.77,0.318,0.854,0.12,0.851,0.0
2023-07-01,0.766,0.316,0.848,0.121,0.846,0.0
2023-07-02,0.764,0.317,0.845,0.122,0.841,0.0
2023-07-03,0.778,0.318,0.861,0.12,0.858,0.0
2023-07-04,0.782,0.318,0.865,0.119,0.863,0.0
