time,total,ipv4,ipv6,torv3,ipv4/ipv6,ipv4/torv3,ipv6/torv3,ipv4/ipv6/torv3,ipv4/ipv6/torv3/i2p,other
2023-04-28,-0.022,-0.06,-0.061,-0.087,-0.023,0.092,0.159,0.065,0.095,-0.009
2023-04-29,-0.027,-0.063,-0.015,-0.043,-0.043,-0.006,-0.089,0.033,0.037,-0.009
2023-04-30,-0.048,-0.03,-0.108,-0.073,-0.044,0.051,-0.034,0.02,-0.16,-0.208
2023-05-01,-0.044,0.011,-0.017,-0.117,-0.072,0.111,-0.034,0.091,-0.161,-0.247
2023-05-02,-0.03,-0.035,0.035,-0.08,-0.015,0.084,0.119,0.047,-0.175,-0.255
2023-05-03,-0.032,-0.033,-0.021,-0.033,-0.048,0.022,0.0,0.022,-0.161,-0.162
2023-05-04,-0.037,-0.048,0.004,-0.092,-0.033,0.089,0.051,0.083,-0.157,-0.275
2023-05-05,-0.03,-0.069,-0.004,-0.053,-0.036,0.041,-0.075,0.077,-0.062,-0.227
2023-05-06,-0.024,-0.062,0.021,-0.037,-0.025,0.056,-0.156,0.043,-0.105,-0.124
2023-05-07,-0.003,0.043,0.102,-0.063,-0.06,0.125,-0.13,0.105,-0.061,-0.145
2023-05-08,0.002,0.086,0.234,-0.104,-0.095,0.183,-0.164,0.093,0.056,-0.083
2023-05-09,0.01,0.119,0.14,-0.062,-0.097,0.166,-0.072,0.074,0.019,-0.053
